course_code,course_name,section_number,course_type,course_hours,course_gender,course_day,course_time,final_exam_day,final_exam_date,final_exam_time,lecturer
230 نال,اسس قواعد البيانات,35583,محاضرة,3,ذكر,"['4', '24']","['10:30-11:35', '11:45-12:50']",1,1444-11-29,08:00 ص - 11:00 ص,['يزيد ابراهيم عبدالعزيز العبدالكريم']
230 نال,اسس قواعد البيانات,35584,تمارين,ذكر,مغلقة,['2'],['10:30-11:35'],---,---,---,['عبدالعزيز عبدالرحمن عبدالعزيز الهدلق']
230 نال,اسس قواعد البيانات,64230,محاضرة,3,ذكر,"['24', '4']","['10:30-11:35', '11:45-12:50']",1,1444-11-29,08:00 ص - 11:00 ص,['مراد بن شيخ']
230 نال,اسس قواعد البيانات,64231,تمارين,ذكر,مغلقة,['2'],['11:45-12:50'],---,---,---,['عبدالعزيز عبدالرحمن عبدالعزيز الهدلق']
230 نال,اسس قواعد البيانات,86741,محاضرة,3,ذكر,"['24', '4']","['10:30-11:35', '11:45-12:50']",1,1444-11-29,08:00 ص - 11:00 ص,['حمد عبدالرحمن عبدالله الصالح']
230 نال,اسس قواعد البيانات,86742,تمارين,ذكر,مغلقة,['2'],['11:45-12:50'],---,---,---,['مراد بن شيخ']
104 فيز,فيزياء عامه (2),81665,محاضرة,4,ذكر,['135'],['09:15-10:20'],2,1444-11-23,08:00 ص - 11:00 ص,['هادى رسام هادى القحطانى']
104 فيز,فيزياء عامه (2),81666,عملي,ذكر,مغلقة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['محمد عاطف محمد رمضان']
104 فيز,فيزياء عامه (2),81667,عملي,ذكر,مغلقة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['طلال عبدالله خليف الشمرى']
104 فيز,فيزياء عامه (2),81668,محاضرة,4,ذكر,['135'],['08:00-09:05'],2,1444-11-23,08:00 ص - 11:00 ص,['هادى رسام هادى القحطانى']
104 فيز,فيزياء عامه (2),81670,عملي,ذكر,مغلقة,"['2', '2']","['08:00-09:05', '09:15-10:20']",---,---,---,['احمد احمد ابراهيم عبدالله']
104 فيز,فيزياء عامه (2),81669,عملي,ذكر,مغلقة,"['2', '2']","['08:00-09:05', '09:15-10:20']",---,---,---,['محمد عاطف محمد رمضان']
104 فيز,فيزياء عامه (2),81671,محاضرة,4,ذكر,['135'],['11:45-12:50'],2,1444-11-23,08:00 ص - 11:00 ص,['ايمن محمد حمد السماعيل']
104 فيز,فيزياء عامه (2),81672,عملي,ذكر,مغلقة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['نواف محمد علي الطاسان']
104 فيز,فيزياء عامه (2),81673,عملي,ذكر,مغلقة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['عبدالعزيز فهد محمد الفرهود']
104 فيز,فيزياء عامه (2),81674,محاضرة,4,ذكر,['135'],['10:30-11:35'],2,1444-11-23,08:00 ص - 11:00 ص,['ابراهيم خالد ابراهيم النملة']
104 فيز,فيزياء عامه (2),81675,عملي,ذكر,مغلقة,"['4', '4']","['08:00-09:05', '09:15-10:20']",---,---,---,['محمد عاطف محمد رمضان']
104 فيز,فيزياء عامه (2),81676,عملي,ذكر,مغلقة,"['4', '4']","['08:00-09:05', '09:15-10:20']",---,---,---,['نواف محمد علي الطاسان']
104 فيز,فيزياء عامه (2),81677,محاضرة,4,ذكر,['135'],['02:45-03:50'],2,1444-11-23,08:00 ص - 11:00 ص,['ابوبكر احمد محمد صديق']
104 فيز,فيزياء عامه (2),81679,عملي,ذكر,مغلقة,"['4', '4']","['01:30-02:35', '02:45-03:50']",---,---,---,['محمد عاطف محمد رمضان']
