course_code,course_name,section_number,course_type,course_hours,course_gender,course_day,course_time,final_exam_day,final_exam_date,final_exam_time,lecturer
103 فيز,فيزياء عامة (1),82642,عملي,ذكر,مغلقة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82641,عملي,ذكر,مغلقة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82643,محاضرة,4,ذكر,['135'],['10:30-11:35'],2,1444-11-23,08:00 ص - 11:00 ص,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82645,عملي,ذكر,مغلقة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82644,عملي,ذكر,مغلقة,"['3', '3']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82646,محاضرة,4,ذكر,['135'],['11:45-12:50'],2,1444-11-23,08:00 ص - 11:00 ص,['عمر مرزوق محمد الدوسرى']
103 فيز,فيزياء عامة (1),82647,عملي,ذكر,مغلقة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['احمد محمد احمد سجيع']
103 فيز,فيزياء عامة (1),82648,عملي,ذكر,مغلقة,"['1', '1']","['01:30-02:35', '02:45-03:50']",---,---,---,['عبدالعزيز فهد محمد الفرهود']
103 فيز,فيزياء عامة (1),82649,محاضرة,4,ذكر,['135'],['09:15-10:20'],2,1444-11-23,08:00 ص - 11:00 ص,['محمد سليمان عائد العائد']
103 فيز,فيزياء عامة (1),82650,عملي,ذكر,مفتوحة,"['2', '2']","['01:30-02:35', '02:45-03:50']",---,---,---,['طلال عبدالله خليف الشمرى']
103 فيز,فيزياء عامة (1),82651,عملي,ذكر,مفتوحة,"['5', '5']","['01:30-02:35', '02:45-03:50']",---,---,---,['شاهد محمود رامي شودري عبدول']
103 فيز,فيزياء عامة (1),83656,محاضرة,4,ذكر,['135'],['08:00-09:05'],2,1444-11-23,08:00 ص - 11:00 ص,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),83658,عملي,ذكر,مغلقة,"['2', '2']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),83657,عملي,ذكر,مغلقة,"['2', '2']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),81665,محاضرة,4,ذكر,['135'],['09:15-10:20'],2,1444-11-23,08:00 ص - 11:00 ص,['هادى رسام هادى القحطانى']
104 فيز,فيزياء عامه (2),81666,عملي,ذكر,مغلقة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['محمد عاطف محمد رمضان']
104 فيز,فيزياء عامه (2),81667,عملي,ذكر,مغلقة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['طلال عبدالله خليف الشمرى']
104 فيز,فيزياء عامه (2),81668,محاضرة,4,ذكر,['135'],['08:00-09:05'],2,1444-11-23,08:00 ص - 11:00 ص,['هادى رسام هادى القحطانى']
104 فيز,فيزياء عامه (2),81669,عملي,ذكر,مغلقة,"['2', '2']","['08:00-09:05', '09:15-10:20']",---,---,---,['احمد احمد ابراهيم عبدالله']
104 فيز,فيزياء عامه (2),81670,عملي,ذكر,مغلقة,"['2', '2']","['08:00-09:05', '09:15-10:20']",---,---,---,['محمد عاطف محمد رمضان']
104 فيز,فيزياء عامه (2),81671,محاضرة,4,ذكر,['135'],['11:45-12:50'],2,1444-11-23,08:00 ص - 11:00 ص,['ايمن محمد حمد السماعيل']
104 فيز,فيزياء عامه (2),81673,عملي,ذكر,مغلقة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['عبدالعزيز فهد محمد الفرهود']
104 فيز,فيزياء عامه (2),81672,عملي,ذكر,مغلقة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['نواف محمد علي الطاسان']
104 فيز,فيزياء عامه (2),81674,محاضرة,4,ذكر,['135'],['10:30-11:35'],2,1444-11-23,08:00 ص - 11:00 ص,['ابراهيم خالد ابراهيم النملة']
104 فيز,فيزياء عامه (2),81675,عملي,ذكر,مغلقة,"['4', '4']","['08:00-09:05', '09:15-10:20']",---,---,---,['محمد عاطف محمد رمضان']
104 فيز,فيزياء عامه (2),81676,عملي,ذكر,مغلقة,"['4', '4']","['08:00-09:05', '09:15-10:20']",---,---,---,['نواف محمد علي الطاسان']
104 فيز,فيزياء عامه (2),81677,محاضرة,4,ذكر,['135'],['02:45-03:50'],2,1444-11-23,08:00 ص - 11:00 ص,['ابوبكر احمد محمد صديق']
104 فيز,فيزياء عامه (2),81678,عملي,ذكر,مغلقة,"['4', '4']","['01:30-02:35', '02:45-03:50']",---,---,---,['محمد عاطف محمد رمضان']
104 فيز,فيزياء عامه (2),81679,عملي,ذكر,مغلقة,"['4', '4']","['01:30-02:35', '02:45-03:50']",---,---,---,['عبدالعزيز فهد محمد الفرهود']
104 فيز,فيزياء عامه (2),81680,محاضرة,4,ذكر,['135'],['01:30-02:35'],2,1444-11-23,08:00 ص - 11:00 ص,['عبدالله عبدالرحمن ابراهيم البسام']
104 فيز,فيزياء عامه (2),81682,عملي,ذكر,مغلقة,"['2', '2']","['01:30-02:35', '02:45-03:50']",---,---,---,['محمد عاطف محمد رمضان']
104 فيز,فيزياء عامه (2),81681,عملي,ذكر,مغلقة,"['2', '2']","['01:30-02:35', '02:45-03:50']",---,---,---,['احمد احمد ابراهيم عبدالله']
104 فيز,فيزياء عامه (2),81683,محاضرة,4,ذكر,['135'],['09:15-10:20'],2,1444-11-23,08:00 ص - 11:00 ص,['محمد عبدالله محمد ابو الريش']
104 فيز,فيزياء عامه (2),81684,عملي,ذكر,مغلقة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['شاهد محمود رامي شودري عبدول']
104 فيز,فيزياء عامه (2),81685,عملي,ذكر,مغلقة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['عبدالعزيز فهد محمد الفرهود']
104 فيز,فيزياء عامه (2),81686,محاضرة,4,ذكر,['135'],['08:00-09:05'],2,1444-11-23,08:00 ص - 11:00 ص,['ابراهيم خالد ابراهيم النملة']
