course_code,course_name,section_number,course_type,course_hours,course_gender,course_day,course_time,final_exam_day,final_exam_date,final_exam_time,lecturer
103 فيز,فيزياء عامة (1),81610,عملي,ذكر,مفتوحة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),81609,عملي,ذكر,مفتوحة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),81611,محاضرة,4,ذكر,['135'],['11:45-12:50'],2,1444-11-23,08:00 ص - 11:00 ص,['زياد احمد على الاحمد']
103 فيز,فيزياء عامة (1),81612,عملي,ذكر,مفتوحة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),81613,عملي,ذكر,مفتوحة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),81614,محاضرة,4,ذكر,['135'],['09:15-10:20'],2,1444-11-23,08:00 ص - 11:00 ص,['عبدالله محمد على الزير']
103 فيز,فيزياء عامة (1),81615,عملي,ذكر,مفتوحة,"['3', '3']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),81616,عملي,ذكر,مفتوحة,"['3', '3']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82634,محاضرة,4,ذكر,['135'],['08:00-09:05'],2,1444-11-23,08:00 ص - 11:00 ص,['سعد علي عبدالله القرنى']
103 فيز,فيزياء عامة (1),82636,عملي,ذكر,مفتوحة,"['2', '2']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82635,عملي,ذكر,مفتوحة,"['2', '2']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82637,محاضرة,4,ذكر,"['35', '1']","['09:15-10:20', '09:15-10:20']",2,1444-11-23,08:00 ص - 11:00 ص,['سعد علي عبدالله القرنى']
103 فيز,فيزياء عامة (1),82639,عملي,ذكر,مفتوحة,"['4', '4']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82638,عملي,ذكر,مفتوحة,"['4', '4']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82640,محاضرة,4,ذكر,['135'],['10:30-11:35'],2,1444-11-23,08:00 ص - 11:00 ص,['زياد احمد على الاحمد']
103 فيز,فيزياء عامة (1),82642,عملي,ذكر,مفتوحة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82641,عملي,ذكر,مفتوحة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82643,محاضرة,4,ذكر,['135'],['10:30-11:35'],2,1444-11-23,08:00 ص - 11:00 ص,['محمد سليمان عائد العائد']
103 فيز,فيزياء عامة (1),82644,عملي,ذكر,مفتوحة,"['3', '3']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82645,عملي,ذكر,مفتوحة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82646,محاضرة,4,ذكر,['135'],['11:45-12:50'],2,1444-11-23,08:00 ص - 11:00 ص,['ناصر صالح على الزايد']
103 فيز,فيزياء عامة (1),82648,عملي,ذكر,مفتوحة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82647,عملي,ذكر,مفتوحة,"['1', '1']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82649,محاضرة,4,ذكر,['135'],['09:15-10:20'],2,1444-11-23,08:00 ص - 11:00 ص,['محمد سليمان عائد العائد']
103 فيز,فيزياء عامة (1),82650,عملي,ذكر,مفتوحة,"['5', '5']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),82651,عملي,ذكر,مفتوحة,"['2', '2']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),83656,محاضرة,4,ذكر,['135'],['08:00-09:05'],2,1444-11-23,08:00 ص - 11:00 ص,['عمر مرزوق محمد الدوسرى']
103 فيز,فيزياء عامة (1),83658,عملي,ذكر,مفتوحة,"['2', '2']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
103 فيز,فيزياء عامة (1),83657,عملي,ذكر,مفتوحة,"['2', '2']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
203 ريض,حساب التفاضل والتكامل,5487,محاضرة,3,ذكر,['135'],['09:15-10:20'],4,1444-11-25,08:00 ص - 11:00 ص,['مسعود بونخل']
203 ريض,حساب التفاضل والتكامل,5490,تمارين,ذكر,مفتوحة,"['3', '3']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
203 ريض,حساب التفاضل والتكامل,81625,محاضرة,3,ذكر,['135'],['08:00-09:05'],4,1444-11-25,08:00 ص - 11:00 ص,['احمد عبدالحى احمد جلو']
203 ريض,حساب التفاضل والتكامل,81626,تمارين,ذكر,مفتوحة,"['1', '1']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
203 ريض,حساب التفاضل والتكامل,81627,محاضرة,3,ذكر,['135'],['08:00-09:05'],4,1444-11-25,08:00 ص - 11:00 ص,['شعلان سعد سعيد القرنى']
203 ريض,حساب التفاضل والتكامل,81628,تمارين,ذكر,مفتوحة,"['5', '5']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
203 ريض,حساب التفاضل والتكامل,81629,محاضرة,3,ذكر,['135'],['01:30-02:35'],4,1444-11-25,08:00 ص - 11:00 ص,['محفوظ عالم']
203 ريض,حساب التفاضل والتكامل,81630,تمارين,ذكر,مفتوحة,"['2', '2']","['08:00-09:05', '09:15-10:20']",---,---,---,['لم يحدد من الكلية']
203 ريض,حساب التفاضل والتكامل,81631,محاضرة,3,ذكر,['135'],['09:15-10:20'],4,1444-11-25,08:00 ص - 11:00 ص,['احمد عبدالحى احمد جلو']
203 ريض,حساب التفاضل والتكامل,81632,تمارين,ذكر,مفتوحة,"['5', '5']","['04:00-05:05', '05:15-06:20']",---,---,---,['لم يحدد من الكلية']
203 ريض,حساب التفاضل والتكامل,84928,محاضرة,3,ذكر,['135'],['08:00-09:05'],4,1444-11-25,08:00 ص - 11:00 ص,['شايع وقيان زيد الدوسري']
203 ريض,حساب التفاضل والتكامل,84929,تمارين,ذكر,مفتوحة,"['5', '5']","['04:00-05:05', '05:15-06:20']",---,---,---,['لم يحدد من الكلية']
203 ريض,حساب التفاضل والتكامل,85586,محاضرة,3,ذكر,['135'],['10:30-11:35'],4,1444-11-25,08:00 ص - 11:00 ص,['عبداللطيف لعراجى']
